period,product_name,total_cost,avg_quarterly,avg_diff,avg_change,sale_performance
2011-Q3,12 Pencils Tall Tube Skulls,440.94,375.45,65.49,Above Avg,Increased
2011-Q4,12 Pencils Tall Tube Skulls,922.93,375.45,547.48,Above Avg,Increased
2010-Q4,12 Pencils Tall Tube Woodland,94.15,344.88,-250.73,Below Avg,First quarter
2011-Q1,12 Pencils Tall Tube Woodland,157.8,344.88,-187.08,Below Avg,Increased
2011-Q2,12 Pencils Tall Tube Woodland,401.86,344.88,56.98,Above Avg,Increased
2011-Q3,12 Pencils Tall Tube Woodland,579.45,344.88,234.57,Above Avg,Increased
2011-Q4,12 Pencils Tall Tube Woodland,491.16,344.88,146.28,Above Avg,Decreased
2011-Q1,12 Pink Hen+Chicks In Basket,35.7,44.63,-8.93,Below Avg,First quarter
2011-Q2,12 Pink Hen+Chicks In Basket,53.55,44.63,8.93,Above Avg,Increased
2010-Q4,15Cm Christmas Glass Ball 20 Lights,890.94,2120.53,-1229.59,Below Avg,First quarter
2011-Q1,15Cm Christmas Glass Ball 20 Lights,99.43,2120.53,-2021.1,Below Avg,Decreased
2011-Q2,15Cm Christmas Glass Ball 20 Lights,32.53,2120.53,-2088,Below Avg,Decreased
2011-Q3,15Cm Christmas Glass Ball 20 Lights,2596.49,2120.53,475.96,Above Avg,Increased
2011-Q4,15Cm Christmas Glass Ball 20 Lights,6983.27,2120.53,4862.74,Above Avg,Increased
2011-Q2,16 Piece Cutlery Set Pantry Design,1813.32,1272.32,541,Above Avg,First quarter
2011-Q3,16 Piece Cutlery Set Pantry Design,1554.26,1272.32,281.94,Above Avg,Decreased
2011-Q4,16 Piece Cutlery Set Pantry Design,449.38,1272.32,-822.94,Below Avg,Decreased
2011-Q2,18Pc Wooden Cutlery Set Disposable,162.38,250.46,-88.08,Below Avg,First quarter
2011-Q3,18Pc Wooden Cutlery Set Disposable,565.61,250.46,315.15,Above Avg,Increased
2011-Q4,18Pc Wooden Cutlery Set Disposable,23.39,250.46,-227.07,Below Avg,Decreased
2010-Q4,2 Daisies Hair Comb,2.96,8.72,-5.76,Below Avg,First quarter
2011-Q1,2 Daisies Hair Comb,2.9,8.72,-5.82,Below Avg,Decreased
2011-Q3,2 Daisies Hair Comb,26.4,8.72,17.69,Above Avg,Increased
2011-Q4,2 Daisies Hair Comb,2.6,8.72,-6.12,Below Avg,Decreased
2011-Q1,2 Picture Book Eggs Easter Bunny,200.65,64.14,136.52,Above Avg,First quarter
2011-Q2,2 Picture Book Eggs Easter Bunny,33.51,64.14,-30.63,Below Avg,Decreased
2011-Q3,2 Picture Book Eggs Easter Bunny,7.38,64.14,-56.76,Below Avg,Decreased
2011-Q4,2 Picture Book Eggs Easter Bunny,15,64.14,-49.14,Below Avg,Increased
2011-Q1,2 Picture Book Eggs Easter Chicks,194.8,55.24,139.56,Above Avg,First quarter
2011-Q2,2 Picture Book Eggs Easter Chicks,9.96,55.24,-45.28,Below Avg,Decreased
2011-Q3,2 Picture Book Eggs Easter Chicks,1.21,55.24,-54.03,Below Avg,Decreased
2011-Q4,2 Picture Book Eggs Easter Chicks,15,55.24,-40.24,Below Avg,Increased
2011-Q1,2 Picture Book Eggs Easter Ducks,122.26,55.3,66.96,Above Avg,First quarter
2011-Q2,2 Picture Book Eggs Easter Ducks,28.63,55.3,-26.67,Below Avg,Decreased
2011-Q4,2 Picture Book Eggs Easter Ducks,15,55.3,-40.3,Below Avg,Decreased
2010-Q4,200 Bendy Skull Straws,55.02,148.22,-93.2,Below Avg,First quarter
2011-Q1,200 Bendy Skull Straws,42.42,148.22,-105.8,Below Avg,Decreased
2011-Q2,200 Bendy Skull Straws,470.79,148.22,322.57,Above Avg,Increased
2011-Q3,200 Bendy Skull Straws,128.01,148.22,-20.21,Below Avg,Decreased
2011-Q4,200 Bendy Skull Straws,44.88,148.22,-103.34,Below Avg,Decreased
2010-Q4,200 Red + White Bendy Straws,97.53,243.79,-146.26,Below Avg,First quarter
2011-Q1,200 Red + White Bendy Straws,198.62,243.79,-45.17,Below Avg,Increased
2011-Q2,200 Red + White Bendy Straws,241.36,243.79,-2.43,Below Avg,Increased
2011-Q3,200 Red + White Bendy Straws,515.12,243.79,271.33,Above Avg,Increased
2011-Q4,200 Red + White Bendy Straws,166.3,243.79,-77.49,Below Avg,Decreased
2011-Q1,3 Bead Drop Earrings,8.76,20.32,-11.56,Below Avg,First quarter
2011-Q3,3 Bead Drop Earrings,29.3,20.32,8.98,Above Avg,Increased
2011-Q4,3 Bead Drop Earrings,22.9,20.32,2.58,Above Avg,Decreased
2011-Q2,3 Birds Canvas Screen,1.65,1.02,0.63,Above Avg,First quarter
2011-Q3,3 Birds Canvas Screen,0.39,1.02,-0.63,Below Avg,Decreased
2010-Q4,3 Morris Boxed Candles,293.51,672.81,-379.3,Below Avg,First quarter
2011-Q1,3 Morris Boxed Candles,571.17,672.81,-101.64,Below Avg,Increased
2011-Q2,3 Morris Boxed Candles,93.5,672.81,-579.31,Below Avg,Decreased
2011-Q3,3 Morris Boxed Candles,84.58,672.81,-588.23,Below Avg,Decreased
2011-Q4,3 Morris Boxed Candles,2321.31,672.81,1648.5,Above Avg,Increased
2010-Q4,3 Piece Cutlery Set,1454.98,3802.1,-2347.12,Below Avg,First quarter
2011-Q1,3 Piece Cutlery Set,6592.72,3802.1,2790.62,Above Avg,Increased
2011-Q2,3 Piece Cutlery Set,3045.46,3802.1,-756.64,Below Avg,Decreased
2011-Q3,3 Piece Cutlery Set,3936.37,3802.1,134.27,Above Avg,Increased
2011-Q4,3 Piece Cutlery Set,3980.96,3802.1,178.86,Above Avg,Increased
2010-Q4,3 Piece Polkadot Cutlery Set,1877.51,6614.62,-4737.11,Below Avg,First quarter
2011-Q1,3 Piece Polkadot Cutlery Set,8859.86,6614.62,2245.24,Above Avg,Increased
2011-Q2,3 Piece Polkadot Cutlery Set,5168.32,6614.62,-1446.3,Below Avg,Decreased
2011-Q3,3 Piece Polkadot Cutlery Set,8806.77,6614.62,2192.15,Above Avg,Increased
2011-Q4,3 Piece Polkadot Cutlery Set,8360.65,6614.62,1746.03,Above Avg,Decreased
2010-Q4,3 Piece Spaceboy Cookie Cutter Set,340.31,1088.66,-748.35,Below Avg,First quarter
2011-Q1,3 Piece Spaceboy Cookie Cutter Set,2310.79,1088.66,1222.13,Above Avg,Increased
2011-Q2,3 Piece Spaceboy Cookie Cutter Set,438.13,1088.66,-650.53,Below Avg,Decreased
2011-Q3,3 Piece Spaceboy Cookie Cutter Set,1165.88,1088.66,77.22,Above Avg,Increased
2011-Q4,3 Piece Spaceboy Cookie Cutter Set,1188.18,1088.66,99.52,Above Avg,Increased
2011-Q1,3 Pink Hen+Chicks In Basket,13.75,7.5,6.25,Above Avg,First quarter
2011-Q2,3 Pink Hen+Chicks In Basket,1.25,7.5,-6.25,Below Avg,Decreased
2011-Q3,3 Raffia Ribbons 50'S Christmas,481.54,938.14,-456.6,Below Avg,First quarter
2011-Q4,3 Raffia Ribbons 50'S Christmas,1394.73,938.14,456.6,Above Avg,Increased
2011-Q3,3 Raffia Ribbons Vintage Christmas,335.53,366.21,-30.68,Below Avg,First quarter
2011-Q4,3 Raffia Ribbons Vintage Christmas,396.89,366.21,30.68,Above Avg,Increased
2010-Q4,3 Stripey Mice Feltcraft,587.79,1178.45,-590.66,Below Avg,First quarter
2011-Q1,3 Stripey Mice Feltcraft,963.77,1178.45,-214.68,Below Avg,Increased
2011-Q2,3 Stripey Mice Feltcraft,1083.46,1178.45,-94.99,Below Avg,Increased
2011-Q3,3 Stripey Mice Feltcraft,1366.86,1178.45,188.41,Above Avg,Increased
2011-Q4,3 Stripey Mice Feltcraft,1890.36,1178.45,711.91,Above Avg,Increased
2010-Q4,3 Tier Cake Tin Green And Cream,671.21,1354.47,-683.26,Below Avg,First quarter
2011-Q1,3 Tier Cake Tin Green And Cream,1835.95,1354.47,481.48,Above Avg,Increased
2011-Q2,3 Tier Cake Tin Green And Cream,1414.77,1354.47,60.3,Above Avg,Decreased
2011-Q3,3 Tier Cake Tin Green And Cream,1672.47,1354.47,318,Above Avg,Increased
2011-Q4,3 Tier Cake Tin Green And Cream,1177.97,1354.47,-176.5,Below Avg,Decreased
2010-Q4,3 Tier Sweetheart Garden Shelf,71.9,380.46,-308.56,Below Avg,First quarter
2011-Q1,3 Tier Sweetheart Garden Shelf,623.1,380.46,242.64,Above Avg,Increased
2011-Q2,3 Tier Sweetheart Garden Shelf,751.95,380.46,371.49,Above Avg,Increased
2011-Q3,3 Tier Sweetheart Garden Shelf,419.4,380.46,38.94,Above Avg,Decreased
2011-Q4,3 Tier Sweetheart Garden Shelf,35.95,380.46,-344.51,Below Avg,Decreased
2010-Q4,3 Traditional Cookie Cutters Set,172.22,568.68,-396.46,Below Avg,First quarter
2011-Q1,3 Traditional Cookie Cutters Set,834.38,568.68,265.7,Above Avg,Increased
2011-Q2,3 Traditional Cookie Cutters Set,474.53,568.68,-94.15,Below Avg,Decreased
2011-Q3,3 Traditional Cookie Cutters Set,683.07,568.68,114.39,Above Avg,Increased
2011-Q4,3 Traditional Cookie Cutters Set,679.21,568.68,110.53,Above Avg,Decreased
2010-Q4,36 Foil Heart Cake Cases,366.63,757.8,-391.17,Below Avg,First quarter
2011-Q1,36 Foil Heart Cake Cases,1507,757.8,749.2,Above Avg,Increased
2011-Q2,36 Foil Heart Cake Cases,643.84,757.8,-113.96,Below Avg,Decreased
2011-Q3,36 Foil Heart Cake Cases,850.5,757.8,92.7,Above Avg,Increased
2011-Q4,36 Foil Heart Cake Cases,421.02,757.8,-336.78,Below Avg,Decreased
2010-Q4,36 Foil Star Cake Cases,100.82,413.19,-312.37,Below Avg,First quarter
2011-Q1,36 Foil Star Cake Cases,592.43,413.19,179.24,Above Avg,Increased
2011-Q2,36 Foil Star Cake Cases,199.85,413.19,-213.34,Below Avg,Decreased
2011-Q3,36 Foil Star Cake Cases,455.26,413.19,42.07,Above Avg,Increased
2011-Q4,36 Foil Star Cake Cases,717.59,413.19,304.4,Above Avg,Increased
2010-Q4,36 Pencils Tube Red Retrospot,195,904.75,-709.75,Below Avg,First quarter
2011-Q1,36 Pencils Tube Red Retrospot,637.42,904.75,-267.33,Below Avg,Increased
2011-Q2,36 Pencils Tube Red Retrospot,1322.59,904.75,417.84,Above Avg,Increased
2011-Q3,36 Pencils Tube Red Retrospot,1319.03,904.75,414.28,Above Avg,Decreased
2011-Q4,36 Pencils Tube Red Retrospot,1049.69,904.75,144.94,Above Avg,Decreased
2010-Q4,36 Pencils Tube Skulls,56.28,475.01,-418.73,Below Avg,First quarter
2011-Q1,36 Pencils Tube Skulls,340.81,475.01,-134.2,Below Avg,Increased
2011-Q2,36 Pencils Tube Skulls,509,475.01,33.99,Above Avg,Increased
2011-Q3,36 Pencils Tube Skulls,514.81,475.01,39.8,Above Avg,Increased
2011-Q4,36 Pencils Tube Skulls,954.15,475.01,479.14,Above Avg,Increased
2010-Q4,3D Christmas Stamps Stickers,136.71,379.69,-242.98,Below Avg,First quarter
2011-Q1,3D Christmas Stamps Stickers,5.78,379.69,-373.91,Below Avg,Decreased
2011-Q3,3D Christmas Stamps Stickers,464.17,379.69,84.49,Above Avg,Increased
2011-Q4,3D Christmas Stamps Stickers,912.08,379.69,532.4,Above Avg,Increased
2010-Q4,3D Hearts Honeycomb Paper Garland,53.18,256.21,-203.03,Below Avg,First quarter
2011-Q1,3D Hearts Honeycomb Paper Garland,399.48,256.21,143.27,Above Avg,Increased
2011-Q2,3D Hearts Honeycomb Paper Garland,293.24,256.21,37.03,Above Avg,Decreased
2011-Q3,3D Hearts Honeycomb Paper Garland,278.95,256.21,22.74,Above Avg,Decreased
2010-Q4,3D Traditional Christmas Stickers,164.42,419.02,-254.6,Below Avg,First quarter
2011-Q1,3D Traditional Christmas Stickers,3.26,419.02,-415.76,Below Avg,Decreased
2011-Q2,3D Traditional Christmas Stickers,4.89,419.02,-414.13,Below Avg,Increased
2011-Q3,3D Traditional Christmas Stickers,601.36,419.02,182.34,Above Avg,Increased
2011-Q4,3D Traditional Christmas Stickers,1321.15,419.02,902.13,Above Avg,Increased
2010-Q4,3D Vintage Christmas Stickers,151.82,432.55,-280.73,Below Avg,First quarter
2011-Q1,3D Vintage Christmas Stickers,22.22,432.55,-410.33,Below Avg,Decreased
2011-Q2,3D Vintage Christmas Stickers,1.63,432.55,-430.92,Below Avg,Decreased
2011-Q3,3D Vintage Christmas Stickers,542.9,432.55,110.35,Above Avg,Increased
2011-Q4,3D Vintage Christmas Stickers,1444.18,432.55,1011.63,Above Avg,Increased
2010-Q4,4 Dinner Candles Silver Flock,299.85,241.13,58.72,Above Avg,First quarter
2011-Q1,4 Dinner Candles Silver Flock,128.73,241.13,-112.4,Below Avg,Decreased
2011-Q2,4 Dinner Candles Silver Flock,203.04,241.13,-38.09,Below Avg,Increased
2011-Q3,4 Dinner Candles Silver Flock,145.46,241.13,-95.67,Below Avg,Decreased
2011-Q4,4 Dinner Candles Silver Flock,428.56,241.13,187.43,Above Avg,Increased
2010-Q4,4 Dinner Silver Flock,2.55,51.94,-49.39,Below Avg,First quarter
2011-Q1,4 Dinner Silver Flock,53.27,51.94,1.33,Above Avg,Increased
2011-Q2,4 Dinner Silver Flock,48.31,51.94,-3.63,Below Avg,Decreased
2011-Q3,4 Dinner Silver Flock,30.32,51.94,-21.62,Below Avg,Decreased
2011-Q4,4 Dinner Silver Flock,125.27,51.94,73.33,Above Avg,Increased
2010-Q4,4 Flock Dinner Candles,45.82,57.14,-11.32,Below Avg,First quarter
2011-Q1,4 Flock Dinner Candles,7.65,57.14,-49.49,Below Avg,Decreased
2011-Q2,4 Flock Dinner Candles,30.6,57.14,-26.54,Below Avg,Increased
2011-Q3,4 Flock Dinner Candles,33.15,57.14,-23.99,Below Avg,Increased
2011-Q4,4 Flock Dinner Candles,168.48,57.14,111.34,Above Avg,Increased
2010-Q4,4 Lily Botanical Dinner Candles,97.5,201.85,-104.35,Below Avg,First quarter
2011-Q1,4 Lily Botanical Dinner Candles,282.67,201.85,80.82,Above Avg,Increased
2011-Q2,4 Lily Botanical Dinner Candles,92.34,201.85,-109.51,Below Avg,Decreased
2011-Q3,4 Lily Botanical Dinner Candles,143.52,201.85,-58.33,Below Avg,Increased
2011-Q4,4 Lily Botanical Dinner Candles,393.23,201.85,191.38,Above Avg,Increased
2010-Q4,4 Pear Botanical Dinner Candles,65,260.67,-195.67,Below Avg,First quarter
2011-Q1,4 Pear Botanical Dinner Candles,212.39,260.67,-48.28,Below Avg,Increased
2011-Q2,4 Pear Botanical Dinner Candles,36.09,260.67,-224.58,Below Avg,Decreased
2011-Q3,4 Pear Botanical Dinner Candles,24.84,260.67,-235.83,Below Avg,Decreased
2011-Q4,4 Pear Botanical Dinner Candles,965.02,260.67,704.35,Above Avg,Increased
2010-Q4,4 Traditional Spinning Tops,406.91,1353.86,-946.95,Below Avg,First quarter
2011-Q1,4 Traditional Spinning Tops,1460.18,1353.86,106.32,Above Avg,Increased
2011-Q2,4 Traditional Spinning Tops,1655.94,1353.86,302.08,Above Avg,Increased
2011-Q3,4 Traditional Spinning Tops,1162.24,1353.86,-191.62,Below Avg,Decreased
2011-Q4,4 Traditional Spinning Tops,2084.04,1353.86,730.18,Above Avg,Increased
2010-Q4,5 Hook Hanger Red Magic Toadstool,209.79,950.66,-740.87,Below Avg,First quarter
2011-Q1,5 Hook Hanger Red Magic Toadstool,2153.94,950.66,1203.28,Above Avg,Increased
2011-Q2,5 Hook Hanger Red Magic Toadstool,2265.81,950.66,1315.15,Above Avg,Increased
2011-Q3,5 Hook Hanger Red Magic Toadstool,75.9,950.66,-874.76,Below Avg,Decreased
2011-Q4,5 Hook Hanger Red Magic Toadstool,47.85,950.66,-902.81,Below Avg,Decreased
2010-Q4,5 Strand Glass Necklace,76.26,55.56,20.7,Above Avg,First quarter
2011-Q1,5 Strand Glass Necklace,37.86,55.56,-17.7,Below Avg,Decreased
2011-Q2,5 Strand Glass Necklace,31.51,55.56,-24.05,Below Avg,Decreased
2011-Q3,5 Strand Glass Necklace,25.16,55.56,-30.4,Below Avg,Decreased
2011-Q4,5 Strand Glass Necklace,106.99,55.56,51.43,Above Avg,Increased
2011-Q3,50'S Christmas Paper Gift Bag,246.77,549.94,-303.17,Below Avg,First quarter
2011-Q4,50'S Christmas Paper Gift Bag,853.1,549.94,303.17,Above Avg,Increased
2010-Q4,50Cm Metal String With 7 Clips,4.26,34.36,-30.1,Below Avg,First quarter
2011-Q1,50Cm Metal String With 7 Clips,126.73,34.36,92.37,Above Avg,Increased
2011-Q2,50Cm Metal String With 7 Clips,18.7,34.36,-15.66,Below Avg,Decreased
2011-Q3,50Cm Metal String With 7 Clips,11.9,34.36,-22.46,Below Avg,Decreased
2011-Q4,50Cm Metal String With 7 Clips,10.2,34.36,-24.16,Below Avg,Decreased
2010-Q4,6 Chocolate Love Heart T-Lights,411.65,434.25,-22.6,Below Avg,First quarter
2011-Q1,6 Chocolate Love Heart T-Lights,362.48,434.25,-71.77,Below Avg,Decreased
2011-Q2,6 Chocolate Love Heart T-Lights,100.73,434.25,-333.52,Below Avg,Decreased
2011-Q3,6 Chocolate Love Heart T-Lights,161.72,434.25,-272.53,Below Avg,Increased
2011-Q4,6 Chocolate Love Heart T-Lights,1134.68,434.25,700.43,Above Avg,Increased
2010-Q4,6 Egg House Painted Wood,344.84,538.93,-194.09,Below Avg,First quarter
2011-Q1,6 Egg House Painted Wood,849.66,538.93,310.73,Above Avg,Increased
2011-Q2,6 Egg House Painted Wood,579.69,538.93,40.76,Above Avg,Decreased
2011-Q3,6 Egg House Painted Wood,389,538.93,-149.93,Below Avg,Decreased
2011-Q4,6 Egg House Painted Wood,531.44,538.93,-7.49,Below Avg,Increased
2011-Q3,6 Gift Tags 50'S Christmas,801.33,1689.8,-888.47,Below Avg,First quarter
2011-Q4,6 Gift Tags 50'S Christmas,2578.27,1689.8,888.47,Above Avg,Increased
2011-Q3,6 Gift Tags Vintage Christmas,955.13,1745.07,-789.94,Below Avg,First quarter
2011-Q4,6 Gift Tags Vintage Christmas,2535,1745.07,789.94,Above Avg,Increased
2010-Q4,6 Ribbons Elegant Christmas,710.84,493.85,216.99,Above Avg,First quarter
2011-Q1,6 Ribbons Elegant Christmas,2.57,493.85,-491.28,Below Avg,Decreased
2011-Q2,6 Ribbons Elegant Christmas,22.29,493.85,-471.56,Below Avg,Increased
2011-Q3,6 Ribbons Elegant Christmas,583.76,493.85,89.91,Above Avg,Increased
2011-Q4,6 Ribbons Elegant Christmas,1149.77,493.85,655.92,Above Avg,Increased
2010-Q4,6 Ribbons Empire,149.15,333.58,-184.43,Below Avg,First quarter
2011-Q1,6 Ribbons Empire,352.06,333.58,18.48,Above Avg,Increased
2011-Q2,6 Ribbons Empire,190.32,333.58,-143.26,Below Avg,Decreased
2011-Q3,6 Ribbons Empire,375.48,333.58,41.9,Above Avg,Increased
2011-Q4,6 Ribbons Empire,600.87,333.58,267.29,Above Avg,Increased
2010-Q4,6 Ribbons Rustic Charm,1476.49,3426.1,-1949.61,Below Avg,First quarter
2011-Q1,6 Ribbons Rustic Charm,3150.87,3426.1,-275.23,Below Avg,Increased
2011-Q2,6 Ribbons Rustic Charm,2488.92,3426.1,-937.18,Below Avg,Decreased
2011-Q3,6 Ribbons Rustic Charm,4467.04,3426.1,1040.94,Above Avg,Increased
2011-Q4,6 Ribbons Rustic Charm,5547.2,3426.1,2121.1,Above Avg,Increased
2010-Q4,6 Ribbons Shimmering Pinks,206.39,243.97,-37.58,Below Avg,First quarter
2011-Q1,6 Ribbons Shimmering Pinks,445.36,243.97,201.39,Above Avg,Increased
2011-Q2,6 Ribbons Shimmering Pinks,76.5,243.97,-167.47,Below Avg,Decreased
2011-Q3,6 Ribbons Shimmering Pinks,157.13,243.97,-86.84,Below Avg,Increased
2011-Q4,6 Ribbons Shimmering Pinks,334.49,243.97,90.52,Above Avg,Increased
2010-Q4,6 Rocket Balloons,69.47,249.8,-180.33,Below Avg,First quarter
2011-Q1,6 Rocket Balloons,235.2,249.8,-14.6,Below Avg,Increased
2011-Q2,6 Rocket Balloons,378.7,249.8,128.9,Above Avg,Increased
2011-Q3,6 Rocket Balloons,343.7,249.8,93.9,Above Avg,Decreased
2011-Q4,6 Rocket Balloons,221.95,249.8,-27.85,Below Avg,Decreased
2010-Q4,60 Cake Cases Dolly Girl Design,386.38,797.56,-411.18,Below Avg,First quarter
2011-Q1,60 Cake Cases Dolly Girl Design,1088.41,797.56,290.85,Above Avg,Increased
2011-Q2,60 Cake Cases Dolly Girl Design,627.75,797.56,-169.81,Below Avg,Decreased
2011-Q3,60 Cake Cases Dolly Girl Design,1026.63,797.56,229.07,Above Avg,Increased
2011-Q4,60 Cake Cases Dolly Girl Design,858.63,797.56,61.07,Above Avg,Decreased
2010-Q4,60 Teatime Fairy Cake Cases,792.59,1817.49,-1024.9,Below Avg,First quarter
2011-Q1,60 Teatime Fairy Cake Cases,2046.86,1817.49,229.37,Above Avg,Increased
2011-Q2,60 Teatime Fairy Cake Cases,2291.29,1817.49,473.8,Above Avg,Increased
2011-Q3,60 Teatime Fairy Cake Cases,2434.38,1817.49,616.89,Above Avg,Increased
2011-Q4,60 Teatime Fairy Cake Cases,1522.35,1817.49,-295.14,Below Avg,Decreased
2011-Q2,6Pc Wood Plate Set Disposable,43.67,191.63,-147.96,Below Avg,First quarter
2011-Q3,6Pc Wood Plate Set Disposable,521.29,191.63,329.66,Above Avg,Increased
2011-Q4,6Pc Wood Plate Set Disposable,9.92,191.63,-181.71,Below Avg,Decreased
2010-Q4,72 Cake Cases Vintage Christmas,882.84,1874.33,-991.49,Below Avg,First quarter
2011-Q1,72 Cake Cases Vintage Christmas,15.18,1874.33,-1859.15,Below Avg,Decreased
2011-Q2,72 Cake Cases Vintage Christmas,9.15,1874.33,-1865.18,Below Avg,Decreased
2011-Q3,72 Cake Cases Vintage Christmas,2758.43,1874.33,884.1,Above Avg,Increased
2011-Q4,72 Cake Cases Vintage Christmas,5706.07,1874.33,3831.74,Above Avg,Increased
2010-Q4,72 Sweetheart Fairy Cake Cases,716.01,1294.13,-578.12,Below Avg,First quarter
2011-Q1,72 Sweetheart Fairy Cake Cases,1855.88,1294.13,561.75,Above Avg,Increased
2011-Q2,72 Sweetheart Fairy Cake Cases,1037.78,1294.13,-256.35,Below Avg,Decreased
2011-Q3,72 Sweetheart Fairy Cake Cases,1859.56,1294.13,565.43,Above Avg,Increased
2011-Q4,72 Sweetheart Fairy Cake Cases,1001.41,1294.13,-292.72,Below Avg,Decreased
2011-Q4,A Pretty Thank You Card,194.58,194.58,0,Avg,First quarter
2010-Q4,A4 Wall Tidy,13.76,17.67,-3.91,Below Avg,First quarter
2011-Q1,A4 Wall Tidy,4.06,17.67,-13.61,Below Avg,Decreased
2011-Q2,A4 Wall Tidy,58.18,17.67,40.51,Above Avg,Increased
2011-Q3,A4 Wall Tidy,4.38,17.67,-13.29,Below Avg,Decreased
2011-Q4,A4 Wall Tidy,7.95,17.67,-9.72,Below Avg,Increased
2011-Q1,Abc Treasure Book Box,556.89,1147.96,-591.07,Below Avg,First quarter
2011-Q2,Abc Treasure Book Box,1237.56,1147.96,89.6,Above Avg,Increased
2011-Q3,Abc Treasure Book Box,1181.23,1147.96,33.27,Above Avg,Decreased
2011-Q4,Abc Treasure Book Box,1616.15,1147.96,468.19,Above Avg,Increased
2010-Q4,Abstract Circle Journal,62.99,89.45,-26.46,Below Avg,First quarter
2011-Q1,Abstract Circle Journal,168.56,89.45,79.11,Above Avg,Increased
2011-Q2,Abstract Circle Journal,85.26,89.45,-4.19,Below Avg,Decreased
2011-Q3,Abstract Circle Journal,117.69,89.45,28.24,Above Avg,Increased
2011-Q4,Abstract Circle Journal,12.75,89.45,-76.7,Below Avg,Decreased
2010-Q4,Abstract Circles Sketchbook,56.49,120.66,-64.17,Below Avg,First quarter
2011-Q1,Abstract Circles Sketchbook,101.21,120.66,-19.45,Below Avg,Increased
2011-Q2,Abstract Circles Sketchbook,112.42,120.66,-8.24,Below Avg,Increased
2011-Q3,Abstract Circles Sketchbook,119.96,120.66,-0.7,Below Avg,Increased
2011-Q4,Abstract Circles Sketchbook,213.23,120.66,92.57,Above Avg,Increased
2010-Q4,Acrylic Faceted Bangle,254.32,76.33,177.99,Above Avg,First quarter
2011-Q1,Acrylic Faceted Bangle,29.35,76.33,-46.98,Below Avg,Decreased
2011-Q2,Acrylic Faceted Bangle,5.8,76.33,-70.53,Below Avg,Decreased
